IATA;NomeCompagnia
Q2;Zambia Airways Corp.
Q5;40-Mile Air
Q7;Sobelair
QD;Grand Airways Inc.
QF;Qantas Airways Ltd.
QG;Sky West Aviation Inc.
QH;Air Florida Inc.
QK;Air Canada Regional
QN;Royal Air
QO;Aeromexpress
QOZ;Bar Harbor Airways
QQ;Reno Air Inc.
QS;Northeastern Int'l Airways
QT;Transportes Aereos Mercantiles Panamericanos S.A
QTQ;Aer Turas Teoranta
QWE;Qwest Commuter
QX;Horizon Air
RAL;Royal-Air Ltd.
RAN;Pan Am Express
RAQ;Arista Int'l Airlines Inc.
RAY;Royale Airlines Inc.
RB;Syrian Arab Airlines
RC;Republic Airlines Inc.
RD;Ryan International Airlines
RDR;Rader Aviation
RDW;Redwing Airways
REA;Realwest Airlines
RED;Aerosun Int'l Airlines Inc.
REQ;Renown Aviation
RES;Resort Airlines Inc.
RG;Varig S. A.
RGQ;Regency Air
RHA;Royal Hawaiian Airways Inc.
RIA;Trump Air
RIC;Richardson Aviation
RIO;Rio Airways Inc.
RIQ;Rich International Airways
RIV;Riverside Air Service
RJS;Michigan Airways Inc.
RK;Air Afrique
RL;UltrAir
RLQ;Reliant Airlines
RMH;Rocky Mountain Helicopters
RMV;Ram Aviation
RNQ;Mytravel Airways
RO;Tarom Romanian Air Transpor
ROA;Royal West Airways Inc.
ROE;Roederer Aviation Inc.
ROS;Great Western Airlines Inc.
ROY;Royal American Airways Inc.
RP;Chautauqua Airlines Inc.
RRT;Air Freight Express
RSC;Resort Commuter
RSQ;Aerotransportes Entre Rios
RSV;Air-Serve
RTQ;Aerotour Dominicano Cxa
RV;Reeve Aleutian Airways Inc.
RVA;Reeves Air
RW;Republic Airlines
RWG;Air Rovers Inc.
RY;Redcoat Air Cargo Limited
RZZ;Aeromech Inc.
S4;Sata Internacional
S5;Shuttle America Corp.
S6;Star Air A/S
SA;South African Airways
SAC;Sundorph Aeronautical Corp.
SAH;Sea Air Shuttle
SAI;Seair Alaska Airlines Inc.
SAJ;Sajen Air Inc.
SAL;Sallee's Aviation
SAM;Samoan Airlines Inc.
SAQ;Southern Air Transport Inc.
SAS;Air Cortez International
SAX;Air Americana
SBA;Saber Aviation Inc.
SBN;Suburban Airlines
SBQ;Skyjet S.A.
SCN;Scott Aviation
SCO;Seaco Airlines Inc.
SCT;Skyline Airlines
SCY;South Coast Airways
SDQ;St. Lucia Airways Limited
SE;Das Air Cargo
SEB;Seaborne Aviation
SEG;Seagull Air Service
SEM;Semo Aviation Inc.
SEP;Southern Express Airways
SEQ;Sky Service F.B.O.
SER;Service Aviation Inc.
SFI;Stahmannfarms Inc.
SFO;Sfo Helicopter Airlines Inc.
SFQ;Pacific Int'l Airlines Inc.
SFS;Sierra Flite Service Inc.
SG;Jetsgo
SH;Servicio Aereo De Honduras
SHS;Shasta Air Inc.
SHV;Shavano Air Inc.
SI;Sierra Pacific Airlines
SIA;Silver State Airlines
SIQ;Premiair
SJA;San Juan Airlines Inc.
SK;Scandinavian Airlines Sys.
SKI;Sunbird Inc.
SKJ;Sky-Jet
SKL;Bas Airlines
SKM;Scheduled Skyways
SKS;Silver Kris Services Ltd.
SKT;Skytrain
SLO;Slocum Air Inc.
SLQ;Sky King Inc.
SLR;Salair
SLZ;Southeast Airlines Inc.
SM;Sunworld Int'l Airlines
SMC;Stopher Mechanical Inc.
SMO;Samoa Aviation Inc.
SMQ;Serv. Aerolineas Mexicanas
SN;Sabena Belgian World Air.
SNA;Aviation Associates
SNB;Ccair
SNC;Gelco Courier Services Inc.
SNE;Shawnee Airlines
SNK;Spernak Airways Inc.
SNV;Sierra Nevada Airways
SO;Swiss World Airways
SOA;Mall Airways Inc.
SOE;Sky One Express
SOL;Soonair Lines Inc.
SOP;South Pacific Island Airway
SPF;Springfield Air Service
SPG;Springdale Air
SPH;Spirit Helicopter
SPQ;Sun Pacific International
SPR;Sportsman Flying Service
SQ;Singapore Airlines Ltd.
SR;Swissair Transport Co. Ltd.
SRA;Star Aviation
SRL;Sterling Air Service
SSA;S. S. Airways Inc.
SSP;Southern Seaplane
SSQ;Superior Airways Limited
SSS;Sierra Express Inc.
SST;Seaplane Shuttle Transport
ST;Belize Airways Limited
STA;State Airlines Inc.
STF;Trans East International
STG;Sedalia Marshall Boonvl Stg
STQ;Skycraft Air Transport Inc.
STR;Star Aviation Corporation
STW;Stateswest Airlines
STZ;Air America Inc.
SU;Aeroflot Russian Airlines
SUA;Sunshine Airlines
SUI;Sun International Airways
SUT;Sunbelt
SUX;Sunair Express LLC
SV;Saudi Arabian Airlines Corp
SVL;Sun Valley Airlines
SWA;Sunwest Airlines
SWT;Swift Aire Lines Inc.
SXP;Sierra Expressway
SY;Sun Country Airlines d/b/a Mn Airlines
SYB;Skybus Express Airlines
SYM;Skymaster
SZQ;Aerolineas El Salvador S A
T3;Tristar Airlines Inc.
T9;Transmeridian Airlines
TA;Taca Int'l Airlines
TAC;Air Colorado
TAF;Tri Air Freight
TAL;Tejas Airlines Inc.
TAQ;Taquan Air Service
TAS;Yosemite Airlines Inc.
TAT;Talarik Creek Air Taxi
TB;USAir Shuttle
TBQ;Triair Bermuda Flt Operations
TCA;Trans Catalina Airlines
TCE;Oceanair Line
TCI;Trans California Airlines
TCL;Trans-Central Airlines Inc.
TCO;Trans-Colorado Airlines
TCQ;Express.Net Airlines
TDQ;Venexcargo
TEN;Tennessee Airways Inc.
TER;Terre Haute Air Commuter
TFQ;Trans Int'l Airlines Inc.
TFZ;Tri-State Airlines Inc.
TG;Thai Airways Int'l Ltd.
TGO;Trans Air Cargo Inc.
TGQ;Tranps Aereos Guatemaltecos
TH;Transmile Air Service
THA;Tropical Helicopter Airways
THO;Thorson Aviation
THQ;T-Bird Air Inc.
TIA;Trans Air Inc.
TIE;Trans International Express
TIQ;Tyrolean Jet Service
TIS;Skyfreight
TJ;Jet Charter Service Inc.
TK;Turk Hava Yollari A.O.
TKQ;Trans-Air-Link Corporation
TLQ;Trans-Mediterranean Airways
TMA;Trans Mo Airlines
TN;Air Tahiti Nui
TNQ;Emery Worldwide Airlines
TNS;Transtate Aviation
TP;Tap-Portuguese Airlines
TPQ;Aerial Transit Company
TQQ;Taca Peru
TR;Transbrasil S.A.
TRI;Great Plains Airlines Inc.
TRO;Air Molakai
TRP;Trans Pennsylvania Airlines
TRQ;Blue Scandinavia Ab
TRR;Territorial Airlines
TS;Air Transat
TSF;American Central Airlines
TSI;Trans Sierra Airlines Inc.
TSQ;TPI International Airways
TTM;The Time Machine
TUL;Tulsair Beechcraft Inc.
TUR;Turner Aire
TV;Haiti Trans Air
TVL;Travelair
TW;Trans World Airways LLC
TWA;Trans Western Airlines Utah
TWE;Trans World Express
TX;Soc.Nouvelle Air Guadeloupe
TXA;Texas National Airlines
TXQ;British Caribbean Airways
TXY;Texas Airways
TYE;Temsco Airlines
TZ;ATA Airlines d/b/a ATA
TZQ;First Choice Airways
U2;UFS Inc.
U5;USA 3000 Airlines
U7;USA Jet Airlines Inc.
UA;United Air Lines Inc.
UAI;Universal Airways Inc.
UC;Ladeco
UD;Fast Air Carrier Ltd.
UH;US Helicopter Corporation
UMQ;Air Manila Inc.
UN;Transaero Airlines
UNQ;Overseas National Airways
UP;Bahamasair Holding Limited
URQ;Aero Uruguay
USA;Air U.S.
UT;Union De Transports Aeriens
UTQ;Universal Airlines Inc.
UX;Air Europa
UYQ;Aerolineas Uruguayas S.A.
V4;Vensecar International
V5;J.D.Valenciana De Aviation
V8;Iliamna Air Taxi
V9;Eagle Airlines
VA;Venezuelan Int'l Airways
VAG;Vagabond Aviation Inc.
VAQ;Vacationair
VAS;Valley Air Services
VB;Pacific Express
VC;Servicios Avensa
VCQ;Victory Air Transport Inc.
VE;Aerovias Venezolanas-Avensa
VER;Britt Airlines Inc.
VEZ;Valdez Airlines
VH;Aeropostal Alas De Venezuel
VI;Vieques Air Link Inc.
VIG;Viking Express
VIN;Vale International Airlines
VIQ;Volga-Dnepr Airlines
VIS;Virgin Islands Seaplane
VK;Air Tungaru Corporation
VL;Mid-South Aviation Inc.
VLA;Village Aviation
VLY;Valley Airlines
VOQ;Avalon Aviation Ltd.
VP;Viacao Aerea Sao Paulo
VQ;Vintage Props & Jets Inc.
VR;Transportes Aereos De Cabo
VS;Virgin Atlantic Airways
VSA;VistaJet Luftfahrtunternehmen GmbH
VV;Aerosvit Ukranian Airlines
VX;Virgin America
VY;Highland Express Airways
W7;Western Pacific Airlines
W8;Cargojet Airways Ltd.
W9;Eastwind Airlines Inc.
WA;Worldwide Airlines Services
WAC;Air East Airlines
WAI;Wise Airlines Inc.
WAP;Arrow Panama
WAR;Waring Air
WAW;Westward Airways Inc.
WC;Wien Air Alaska Inc.
WCA;Walker's International
WCI;Mountainwest Airlines
WD;Halisa Air
WDQ;Wardair Canada Inc.
WE;Centurion Cargo Inc.
WEB;Southeast Alaska Airlines
WEQ;Aero-Services-Corporate
WES;Western Star Airlines Inc.
WET;Western Charter Inc.
WFS;Wheeler Airlines
WFT;Westflight Aviation
WG;Sunwing Airlines Inc.
WGL;Wrangell Air Service
WGQ;Gateway Aviation Limited
WI;Tradewinds Airlines
WIA;Wisc Air
WIL;Will's Air
WIR;Williams Air Inc.
WL;World Air Network
WLH;Welch Aviation
WLQ;Worldwide Airlines Inc.
WM;Windward Islands Airways
WMA;WRANGELL MOUNTAIN AIR INC.
WN;Southwest Airlines Co.
WNG;Wings Airways
WNQ;Winair Inc.
WO;World Airways Inc.
WP;Island Air Hawaii
WRA;Wra Inc.
WRD;Ward Air
WRT;Wright Airlines Inc.
WS;Westjet
WSK;AAR Western Skyways
WST;West Isle Air
WSU;Mission Air
WT;Nigeria Airways Ltd.
WTA;Westates Airlines
WWI;Wings West Airlines
WWQ;Worldways Canada Ltd.
X9;Omni Air Express
XAA;Aero Union Corp
XAB;Air Polynesia dba DHL Cargo
XAC;Air Express Int'l Airlines
XAE;Amerford Airways Inc.
XAF;Astro-Wing Airlines Inc.
XAG;Ball Brothers Inc.
XAH;Hawaii Pacific Air
XAI;Burlington Northern Inc.
XAJ;Central American Int'l
XAK;Century Airlines Inc.
XAM;Cohlmia Aviation
XAO;Dallas Flight Center
XAQ;Cam Air International Inc.
XAR;Jet Way Inc.
XAS;Klondike Air Inc.
XAT;Michigan Peninsula Airways
XAU;Flight Line Inc.
XAY;Pat Air
XAZ;Purolator Sky Courier Inc.
XBC;Jet East Inc.
XBF;WTC Airlines
XBH;Profit Airlines Inc.
XBI;CF Air Freight
XBJ;International Air Service
XBM;Phh Air Inc.
XBP;Circle Airfreight Corp.
XBQ;Aeronaves De Puerto Rico
XBR;Allstates Air Cargo Inc.
XBT;Pacific Alaska Airlines Inc.
XBV;Nal Inc.
XBX;Icb International Airlines
XBZ;Air Natl Aircraft Sal & Ser
XCA;Hawkins And Powers Aviation
XDA;Pacific Air Express Inc.
XDC;Hemisphere Air Charter
XDD;Int'l Parcel Express Inc.
XDE;Air Train Inc.
XDF;Salair Inc.
XDH;Kitty Hawk Air Cargo
XE;Expressjet Airlines Inc.
XF;Vladivostok Air
XJ;Mesaba Airlines
XK;Aerotal
XL;Lan Ecuador
XP;Casino Express
XPA;Express Air/dba Sunrise
XPQ;International Cargo Xpress
XV;Presidential Airways Inc.
XY;Munz Northern Airlines Inc.
XYZ;Airpac Inc.
Y7;Flyjet Limited d/b/a Silverjet
Y8;Yangtze River Express Airlines Company
YB;Trans Continental Airlines
YBQ;Yellow Bird Air
YM;Royal West Airlines
YR;Scenic Airlines Inc. d/b/a Scenic Airlines
YV;Mesa Airlines Inc.
ZA;Accessair Holdings
ZAQ;Zas Airline Of Egypt
ZB;Monarch Airlines
ZE;Lineas Aereas Azteca
ZFZ;Mcphillips Flying Service
ZIA;Air New Mexico
ZK;Great Lakes Airlines
ZKQ;Zantop International
ZL;Affretair
ZMZ;Winnipesaukee Aviation Inc.
ZN;Key Airlines Inc.
ZO;Florida Express Inc.
ZP;Air St. Thomas
ZQ;Caribbean Sun Airlines
ZS;Hispaniola Airways
ZUQ;Zuliana De Aviacion
ZV;Air Midwest Inc.
ZW;Air Wisconsin Airlines Corp
ZX;Air Georgian
ZY;Atlantic Gulf Airlines
ZYZ;Skyway Aviation Inc.
